province;doctors; lat ; lon 
Aceh;30;-4.7;96.75
Sumatera Utara;23;-3.67;98.67
Sumatera Barat;20;-0.96;100.36
Riau;24;-0.53;101.45
Jambi;28;-1.59;103.61
Sumatera Selatan;15;-2.98;104.76
Bengkulu;23;-3.8;102.26
Lampung;21;-5.43;105.26
Bangka Belitung;269;-2.13;106.12
Kepulauan Riau;26;-0.92;104.46
Jakarta Raya;65;-6.21;106.85
Jawa Barat;11;-6.95;107.57
Jawa Tengah;17;-6.97;110.42
Yogyakarta;54;-7.8;110.36
Jawa Timur;22;-7.25;112.74
Banten;11;-6.12;106.15
Bali;36;-8.67;115.22
Nusa Tenggara Barat;269;-8.58;116.12
Nusa Tenggara Timur;269;-10.16;123.58
Kalimantan Barat;17;-0.02;109.34
Kalimantan Tengah;19;-2.22;113.91
Kalimantan Selatan;21;-3.33;114.58
Kalimantan Timur;30;-0.5;117.15
Kalimantan Utara;35;-2.77;117.43
Sulawesi Utara;37;-1.49;124.84
Sulawesi Tengah;18;-1.43;121.45
Sulawesi Selatan;19;-5.13;119.41
Sulawesi Tenggara;17;-3.97;122.59
Gorontalo;27;-0.54;123.06
Sulawesi Barat;12;-2.49;119.33
Maluku;14;-3.71;128.17
Maluku Utara;20;-0.8;127.36
Papua Barat;26;-0.86;134.06
Papua;23;-2.53;140.72
