Year;Type;Degree
2000;Min;19.5
2000;Avg;27.7
2000;Max;35
2001;Min;24.1
2001;Avg;28.04
2001;Max;31.6
2002;Min;24.5
2002;Avg;28.45
2002;Max;33
2003;Min;23.48
2003;Avg;29.59
2003;Max;33.62
2004;Min;27.76
2004;Avg;29.27
2004;Max;30.37
2005;Min;21.6
2005;Avg;27
2005;Max;33.8
2006;Min;23
2006;Avg;27.8
2006;Max;34.6
2007;Min;23.2
2007;Avg;27
2007;Max;33.6
2008;Min;21
2008;Avg;26.9
2008;Max;35
2009;Min;23
2009;Avg;27.1
2009;Max;32.9
2011;Min;21.7
2011;Avg;27.2
2011;Max;36
2012;Min;21
2012;Avg;27.3
2012;Max;36.9
2013;Min;21.6
2013;Avg;28.77
2013;Max;36.4
2014;Min;20
2014;Avg;27.9
2014;Max;35.2
2015;Min;18.6
2015;Avg;27.4
2015;Max;36.8
